location, amount, lat_long
Piraeus Global ,1,lat: 37.9583789 lng: 23.6574796
Dedham Massachusetts,1,lat: 42.2436085 lng: -71.1676536
Cupertino California,1,lat: 37.3229978 lng: -122.0321823
Hong kong Global ,1,lat: 22.27694 lng: 114.167991
Bangkok Global ,1,lat: 13.747071 lng: 100.555628
 ,1,none
Tucson Arizona,2,lat: 32.2226066 lng: -110.9747108
Ballston Virginia,1,lat: 38.8858006 lng: -77.1053673
Dulles Virginia,1,lat: 38.9624899 lng: -77.4380485
Indiatlantic Florida,1,lat: 28.0894599 lng: -80.5656079
Greenville South carolina,1,lat: 34.85261759999999 lng: -82.3940104
Huntsville Alabama,1,lat: 34.7303688 lng: -86.5861037
Augusta Georgia,1,lat: 33.4734978 lng: -82.0105148
San antonio Texas,1,lat: 29.4241219 lng: -98.49362819999999
Austin city limits Texas,1,lat: 30.2652603 lng: -97.7468815
Honolulu Hawaii,1,lat: 21.3069444 lng: -157.8583333
State college Pennsylvania,1,lat: 40.7933949 lng: -77.8600012
Tampa Florida,1,lat: 27.950575 lng: -82.4571776
Nashua New hampshire,1,lat: 42.7653662 lng: -71.46756599999999
Austin Texas,1,lat: 30.267153 lng: -97.7430608
Brooklyn New york,1,lat: 40.6781784 lng: -73.9441579
Albuquerque New mexico,1,lat: 35.0843859 lng: -106.650422
Medellin Global ,1,lat: 6.210401999999999 lng: -75.5698693
Ottawa Global ,2,lat: 45.4305251 lng: -75.69877939999999
San diego California,1,lat: 32.715738 lng: -117.1610838
Concord? Massachusetts,1,lat: 42.4603719 lng: -71.3489484
San clemente California,2,lat: 33.4273521 lng: -117.6126004
London  hong kong  medellin Global ,1,none
Multiple locations Us,1,lat: 41.90581 lng: -87.672483
Arlington Massachusetts,1,lat: 42.4153925 lng: -71.1564729
New york city New york,1,lat: 40.7127753 lng: -74.0059728
Kampala Global ,1,lat: 0.3302183 lng: 32.5864399
Walpole Massachusetts,1,lat: 42.1417442 lng: -71.2495096
Ho Global ,1,lat: 37.5592181 lng: -122.2868239
Dar es salaam Global ,1,lat: -6.7484231 lng: 39.2781843
Norwood Massachusetts,1,lat: 42.19439089999999 lng: -71.19896949999999
Seoul Global ,1,lat: 37.5698187 lng: 126.9813889
Fitchburg Massachusetts,1,lat: 42.5834228 lng: -71.8022955
Windsor Massachusetts,1,lat: 42.5090217 lng: -73.0457124
Salem New hampshire,1,lat: 42.78855530000001 lng: -71.2008912
Woods hole Massachusetts,1,lat: 41.5264977 lng: -70.6730857
Lowell Massachusetts,2,lat: 42.6334247 lng: -71.31617179999999
