job_title, company_name, state, city, link 
(ccis) full-stack developer co-op,Ellington management group  l.l.c.,Connecticut,Old greenwich,https://nucareers.northeastern.edu/postings.htm?pId=1860276
Business and technology operations coordinator,Eze software group,Massachusetts,Boston,https://nucareers.northeastern.edu/postings.htm?pId=1850699
Us army research support - chemical sensors,Government of the united states,Massachusetts,Natick,https://nucareers.northeastern.edu/postings.htm?pId=1858053
Audio visual/it support assistant,Harvard university,Massachusetts,Cambridge,https://nucareers.northeastern.edu/postings.htm?pId=1851397
Adaptive structures co-op,Hrl laboratories llc,California,Malibu,https://nucareers.northeastern.edu/postings.htm?pId=1847757
(ccis) software engineering co-op,Integrated computer solutions  inc.,Massachusetts,Waltham,https://nucareers.northeastern.edu/postings.htm?pId=1853447
Pmo reporting & control coordinator co-op,John hancock,Massachusetts,Boston,https://nucareers.northeastern.edu/postings.htm?pId=1859101
Asset allocation co-op,John hancock,Massachusetts,Boston,https://nucareers.northeastern.edu/postings.htm?pId=1857964
Derivatives solutions analyst co-op,John hancock,Massachusetts,Boston,https://nucareers.northeastern.edu/postings.htm?pId=1852376
(ccis) 2018 information technology co-op - various locations,Johnson & johnson,New jersey,New brunswick,https://nucareers.northeastern.edu/postings.htm?pId=1846916
Actuarial risk analyst,Marsh & mclennan companies  inc.,New york,New york,https://nucareers.northeastern.edu/postings.htm?pId=1856852
Harpoon marketing associate co-op,Mass. bay brewing company  inc.,Massachusetts,Boston,https://nucareers.northeastern.edu/postings.htm?pId=1860005
Chemical inventory technician,Massachusetts institute of technology,Massachusetts,Cambridge,https://nucareers.northeastern.edu/postings.htm?pId=1859432
Systems engineering co-op (req. 21664  grp 75),Mit lincoln laboratory,Massachusetts,Lexington,https://nucareers.northeastern.edu/postings.htm?pId=1857868
Plasma science co-op,Mks instruments  inc.,Massachusetts,Andover,https://nucareers.northeastern.edu/postings.htm?pId=1858292
Application support scientist,Mks instruments  inc.,Massachusetts,Andover,https://nucareers.northeastern.edu/postings.htm?pId=1858296
